index,line_start,line_end
SUB319,00:27:58.971,00:28:03.517
SUB320,00:28:03.892,00:28:05.477
SUB321,00:28:10.023,00:28:29.084
SUB326,00:28:29.418,00:28:33.422
SUB329,00:28:40.637,00:28:45.434
SUB331,00:28:46.894,00:28:51.440
SUB332,00:28:52.774,00:29:03.869
SUB335,00:29:05.954,00:29:14.713
SUB337,00:29:14.963,00:29:16.840
SUB338,00:29:21.803,00:29:27.392
SUB340,00:29:29.311,00:29:33.065
SUB341,00:29:33.899,00:29:52.543
SUB346,00:29:54.837,00:30:08.559
SUB350,00:30:08.851,00:30:12.521
SUB351,00:30:13.063,00:30:16.692
SUB352,00:30:18.026,00:30:25.534
SUB354,00:30:25.742,00:30:27.870
SUB355,00:30:28.078,00:30:29.246
SUB356,00:30:29.454,00:30:31.540
SUB357,00:30:31.790,00:30:32.749
SUB358,00:30:32.958,00:30:35.460
SUB359,00:30:35.711,00:30:45.220
SUB362,00:30:45.429,00:30:51.226
SUB365,00:30:53.729,00:30:55.397
SUB366,00:31:07.701,00:31:09.536
SUB368,00:31:21.006,00:31:24.843
SUB370,00:31:39.942,00:31:43.612
SUB,,
SUB371,00:31:50.536,00:32:00.796
SUB374,00:32:02.297,00:32:03.340
SUB375,00:32:06.093,00:32:10.180
SUB,,
SUB377,00:32:19.773,00:36:08.710
SUB416,00:36:39.449,00:37:19.615
SUB422,00:38:13.544,00:38:16.213
SUB422,00:38:13.544,00:38:16.213
SUB423,00:38:17.631,00:38:21.510
SUB423,00:38:17.631,00:38:21.510
SUB424,00:38:21.677,00:38:22.803
SUB425,00:38:38.110,00:38:39.361
SUB426,00:38:45.534,00:38:46.743
SUB427,00:38:48.579,00:38:53.959
SUB429,00:38:54.126,00:38:56.628
SUB430,00:38:56.753,00:39:02.217
SUB431,00:39:00.090,00:39:02.217
SUB431,00:39:00.090,00:39:02.217
SUB432,00:39:02.509,00:39:08.265
SUB434,00:39:09.099,00:39:10.517
SUB435,00:39:11.226,00:39:12.936
SUB436,00:39:15.272,00:39:23.697
SUB439,00:39:53.435,00:40:36.687
SUB448,00:40:42.484,00:40:48.323
SUB450,00:40:50.075,00:41:02.254
SUB453,00:41:04.006,00:41:06.800
SUB454,00:41:09.011,00:41:27.529
SUB458,00:41:28.906,00:41:31.992
SUB459,00:41:32.159,00:41:40.876
SUB461,00:41:42.794,00:41:46.840
SUB462,00:41:50.677,00:42:00.646
SUB465,00:42:01.480,00:42:05.484
SUB286,00:25:35.911,00:25:38.413
SUB466,00:42:12.157,00:42:15.077
SUB467,00:42:34.721,00:42:36.932
SUB475,00:43:18.557,00:43:21.518
SUB471,00:43:05.711,00:43:08.630
SUB472,00:43:08.922,00:43:11.008
SUB473,00:43:11.175,00:43:17.764
SUB475,00:43:18.557,00:43:27.608
SUB477,00:43:29.401,00:43:30.819
SUB478,00:43:32.196,00:43:39.786
SUB480,00:43:40.078,00:43:41.705
SUB481,00:43:47.878,00:43:53.091
SUB483,00:43:58.889,00:44:00.974
SUB483,00:43:58.889,00:44:00.974
SUB484,00:44:02.643,00:44:05.979
SUB484,00:44:02.643,00:44:05.979
SUB485,00:44:06.188,00:44:07.272
SUB486,00:44:18.742,00:44:19.785
SUB487,00:44:24.957,00:44:34.800
SUB490,00:44:35.384,00:44:36.885
SUB491,00:44:38.929,00:44:42.307
SUB491,00:44:38.929,00:44:42.307
SUB492,00:44:42.516,00:44:45.435
SUB493,00:44:45.561,00:44:48.564
SUB493,00:44:45.561,00:44:48.564
SUB494,00:44:48.897,00:45:10.919
SUB499,00:45:12.337,00:45:13.630
SUB499,00:45:12.337,00:45:13.630
SUB,,
SUB500,00:45:20.220,00:45:22.431
SUB501,00:45:25.058,00:45:26.310
SUB504,00:46:19.613,00:46:22.950
SUB505,00:46:23.158,00:46:25.035
SUB506,00:46:25.244,00:46:27.663
SUB515,00:47:15.878,00:47:19.631
SUB516,00:47:20.591,00:47:22.259
SUB517,00:47:24.553,00:47:26.471
SUB518,00:47:26.889,00:47:29.892
SUB519,00:47:34.730,00:47:37.065
SUB520,00:47:38.400,00:47:39.985
SUB521,00:47:41.403,00:47:46.909
SUB523,00:47:47.618,00:47:50.287
SUB524,00:47:51.413,00:47:53.624
SUB525,00:47:56.251,00:47:59.880
SUB526,00:48:07.262,00:48:08.847
SUB,,
SUB527,00:48:11.850,00:48:13.310
SUB528,00:48:13.602,00:48:26.448
SUB533,00:48:52.766,00:48:53.976
SUB534,00:48:58.147,00:48:59.648
SUB535,00:49:05.946,00:49:09.700
SUB536,00:49:24.548,00:49:31.180
SUB539,00:49:32.347,00:49:33.724
SUB540,00:49:49.531,00:49:53.952
SUB541,00:49:54.703,00:50:06.006
SUB544,00:50:10.385,00:50:12.095
SUB545,00:50:16.892,00:50:41.083
SUB548,00:50:41.583,00:50:43.377
SUB549,00:50:46.255,00:50:48.841
SUB550,00:50:49.883,00:50:52.344
SUB551,00:50:56.348,00:51:00.310
SUB556,00:52:00.537,00:52:01.872
SUB557,00:52:20.265,00:52:21.600
SUB,,
SUB,,
SUB558,00:52:35.906,00:52:37.699
SUB559,00:52:41.537,00:52:44.873
SUB560,00:52:46.500,00:52:54.091
SUB562,00:52:55.551,00:52:57.719
SUB563,00:52:58.554,00:53:04.142
SUB565,00:53:06.228,00:53:10.440
SUB,,
SUB998,01:46:47.491,01:46:49.409
SUB566,00:53:28.750,00:53:32.504
SUB,,
SUB567,00:53:52.774,00:53:54.276
SUB568,00:53:55.569,00:54:04.036
SUB570,00:54:06.830,00:54:08.248
SUB571,00:54:14.421,00:54:22.804
SUB573,00:54:23.305,00:54:27.684
SUB574,00:54:31.563,00:54:35.150
SUB575,00:54:35.359,00:54:36.819
SUB576,00:54:37.736,00:54:40.864
SUB576,00:54:37.736,00:54:40.864
SUB577,00:54:43.450,00:54:44.409
SUB577,00:54:43.450,00:54:44.409
SUB578,00:54:46.995,00:54:48.956
SUB579,00:55:33.709,00:55:34.877
SUB580,00:55:49.391,00:55:52.686
SUB581,00:55:52.895,00:55:55.731
SUB582,00:56:03.864,00:56:06.074
SUB582,00:56:03.864,00:56:06.074
SUB583,00:56:07.242,00:56:09.244
SUB584,00:56:10.412,00:56:12.748
SUB584,00:56:10.412,00:56:12.748
SUB586,00:56:27.012,00:56:45.656
SUB591,00:56:56.083,00:56:58.627
SUB591,00:56:56.083,00:56:58.627
SUB592,00:56:59.002,00:57:02.339
SUB592,00:56:59.002,00:57:02.339
SUB593,00:57:02.548,00:57:06.093
SUB594,00:57:06.301,00:57:09.346
SUB595,00:57:09.972,00:57:13.141
SUB595,00:57:09.972,00:57:13.141
SUB596,00:57:14.726,00:57:15.769
SUB597,00:57:17.521,00:57:19.815
